tokens per iteration will be: 491,520
Resuming training from out2
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
iter 5960: loss 3.2145, time 13086.96ms, mfu 10.26%
step 6000: train loss 3.3038, val loss 3.3302
saving checkpoint to out2
iter 6000: loss 3.3245, time 49771.41ms, mfu 9.50%
iter 6040: loss 3.6878, time 13160.46ms, mfu 9.58%
iter 6080: loss 3.3752, time 13143.98ms, mfu 9.64%
iter 6120: loss 3.3209, time 13147.57ms, mfu 9.70%
iter 6160: loss 3.3148, time 13151.98ms, mfu 9.76%
iter 6200: loss 3.2796, time 13092.04ms, mfu 9.81%
iter 6240: loss 3.3084, time 13133.11ms, mfu 9.85%
iter 6280: loss 3.4117, time 13159.96ms, mfu 9.89%
iter 6320: loss 3.4288, time 13147.76ms, mfu 9.93%
iter 6360: loss 3.4050, time 13172.84ms, mfu 9.96%
iter 6400: loss 3.5616, time 13138.49ms, mfu 9.99%
iter 6440: loss 3.0929, time 13088.40ms, mfu 10.02%
iter 6480: loss 3.2398, time 13170.90ms, mfu 10.04%
iter 6520: loss 3.5119, time 13155.08ms, mfu 10.06%
iter 6560: loss 3.0619, time 13169.83ms, mfu 10.07%
iter 6600: loss 3.2753, time 13127.82ms, mfu 10.09%
iter 6640: loss 3.3105, time 13140.62ms, mfu 10.11%
iter 6680: loss 3.2063, time 13090.48ms, mfu 10.13%
iter 6720: loss 2.9900, time 13163.90ms, mfu 10.14%
iter 6760: loss 3.2266, time 13131.75ms, mfu 10.15%
iter 6800: loss 3.3347, time 13132.31ms, mfu 10.16%
iter 6840: loss 3.3372, time 13149.62ms, mfu 10.17%
iter 6880: loss 3.2713, time 13154.52ms, mfu 10.17%
iter 6920: loss 3.3184, time 13102.54ms, mfu 10.18%
iter 6960: loss 3.2133, time 13129.43ms, mfu 10.19%
iter 7000: loss 3.4726, time 13185.47ms, mfu 10.19%
iter 7040: loss 3.4950, time 13159.76ms, mfu 10.20%
iter 7080: loss 3.0213, time 13157.37ms, mfu 10.20%
iter 7120: loss 3.3854, time 13132.15ms, mfu 10.21%
iter 7160: loss 3.5181, time 13139.42ms, mfu 10.21%
iter 7200: loss 3.1097, time 13135.49ms, mfu 10.21%
iter 7240: loss 3.4984, time 13134.82ms, mfu 10.22%
iter 7280: loss 3.0703, time 13138.43ms, mfu 10.22%
iter 7320: loss 2.9785, time 13142.88ms, mfu 10.22%
iter 7360: loss 2.9528, time 13144.11ms, mfu 10.23%
iter 7400: loss 2.9584, time 13138.01ms, mfu 10.23%
iter 7440: loss 3.1683, time 13074.99ms, mfu 10.24%
iter 7480: loss 3.2801, time 13142.90ms, mfu 10.24%
iter 7520: loss 3.3756, time 13135.61ms, mfu 10.24%
iter 7560: loss 3.3201, time 13131.20ms, mfu 10.24%
iter 7600: loss 3.4283, time 13146.44ms, mfu 10.24%
iter 7640: loss 3.3083, time 13128.59ms, mfu 10.24%
iter 7680: loss 3.1317, time 13115.31ms, mfu 10.24%
iter 7720: loss 3.2785, time 13122.27ms, mfu 10.25%
iter 7760: loss 3.2615, time 13118.92ms, mfu 10.25%
iter 7800: loss 3.2362, time 13090.37ms, mfu 10.25%
iter 7840: loss 3.2106, time 13012.79ms, mfu 10.26%
iter 7880: loss 3.3948, time 13109.16ms, mfu 10.26%
iter 7920: loss 3.0788, time 13169.88ms, mfu 10.26%
iter 7960: loss 2.9942, time 13137.07ms, mfu 10.26%
step 8000: train loss 3.2454, val loss 3.2563
saving checkpoint to out2
iter 8000: loss 3.2660, time 49888.84ms, mfu 9.50%
iter 8040: loss 3.2412, time 13092.55ms, mfu 9.58%
iter 8080: loss 3.0760, time 13139.46ms, mfu 9.65%
iter 8120: loss 3.2175, time 13128.85ms, mfu 9.71%
iter 8160: loss 3.3417, time 13129.04ms, mfu 9.76%
iter 8200: loss 3.2527, time 13170.03ms, mfu 9.81%
iter 8240: loss 3.0784, time 13151.08ms, mfu 9.85%
iter 8280: loss 3.4400, time 13142.59ms, mfu 9.89%
iter 8320: loss 3.3392, time 13173.88ms, mfu 9.92%
iter 8360: loss 3.3658, time 13124.62ms, mfu 9.96%
iter 8400: loss 3.0945, time 13179.24ms, mfu 9.98%
iter 8440: loss 3.6480, time 13180.02ms, mfu 10.01%
iter 8480: loss 3.1354, time 13112.34ms, mfu 10.03%
iter 8520: loss 3.5314, time 13142.40ms, mfu 10.05%
iter 8560: loss 3.2209, time 13143.46ms, mfu 10.07%
iter 8600: loss 3.2407, time 13181.14ms, mfu 10.09%
iter 8640: loss 3.1316, time 13159.26ms, mfu 10.10%
iter 8680: loss 3.1824, time 13167.72ms, mfu 10.11%
iter 8720: loss 3.1284, time 13163.59ms, mfu 10.13%
iter 8760: loss 3.3243, time 13171.47ms, mfu 10.14%
iter 8800: loss 3.2242, time 13068.43ms, mfu 10.15%
iter 8840: loss 3.0422, time 13205.35ms, mfu 10.16%
iter 8880: loss 3.1275, time 13172.37ms, mfu 10.16%
iter 8920: loss 3.1015, time 13154.46ms, mfu 10.17%
iter 8960: loss 3.0021, time 13153.45ms, mfu 10.18%
iter 9000: loss 3.3240, time 13167.10ms, mfu 10.18%
iter 9040: loss 3.1618, time 13149.56ms, mfu 10.19%
iter 9080: loss 3.2003, time 13165.26ms, mfu 10.19%
iter 9120: loss 3.2773, time 13159.89ms, mfu 10.20%
iter 9160: loss 3.1096, time 13162.71ms, mfu 10.20%
iter 9200: loss 2.6379, time 13194.25ms, mfu 10.20%
iter 9240: loss 3.3329, time 13154.33ms, mfu 10.20%
iter 9280: loss 2.9845, time 13146.46ms, mfu 10.21%
iter 9320: loss 3.3741, time 13167.61ms, mfu 10.21%
iter 9360: loss 3.3969, time 13153.17ms, mfu 10.21%
iter 9400: loss 3.3530, time 13191.76ms, mfu 10.21%
iter 9440: loss 3.4924, time 13094.88ms, mfu 10.22%
iter 9480: loss 2.8595, time 13142.81ms, mfu 10.22%
iter 9520: loss 3.1726, time 13178.74ms, mfu 10.22%
iter 9560: loss 3.0537, time 13126.36ms, mfu 10.23%
iter 9600: loss 3.0289, time 13263.35ms, mfu 10.22%
iter 9640: loss 3.3959, time 13124.73ms, mfu 10.22%
iter 9680: loss 3.4788, time 13143.84ms, mfu 10.22%
iter 9720: loss 3.4625, time 38194.90ms, mfu 9.55%
iter 9760: loss 3.2042, time 13096.07ms, mfu 9.63%
iter 9800: loss 3.3785, time 13172.75ms, mfu 9.69%
iter 9840: loss 3.3020, time 13138.95ms, mfu 9.74%
iter 9880: loss 3.3267, time 13144.91ms, mfu 9.79%
iter 9920: loss 3.1878, time 13167.92ms, mfu 9.84%
iter 9960: loss 3.3224, time 13146.17ms, mfu 9.88%
step 10000: train loss 3.1923, val loss 3.2198
saving checkpoint to out2
iter 10000: loss 3.2644, time 50215.27ms, mfu 9.16%
iter 10040: loss 3.0321, time 13127.17ms, mfu 9.27%
iter 10080: loss 3.2510, time 13119.65ms, mfu 9.37%
iter 10120: loss 3.1667, time 13123.42ms, mfu 9.46%
iter 10160: loss 3.0560, time 13121.56ms, mfu 9.54%
iter 10200: loss 3.0434, time 13128.32ms, mfu 9.61%
iter 10240: loss 3.4108, time 13117.57ms, mfu 9.67%
iter 10280: loss 3.1121, time 13119.46ms, mfu 9.73%
iter 10320: loss 3.2262, time 13120.77ms, mfu 9.79%
iter 10360: loss 3.2219, time 13118.25ms, mfu 9.83%
iter 10400: loss 3.0028, time 13124.61ms, mfu 9.88%
iter 10440: loss 3.4085, time 13121.70ms, mfu 9.92%
iter 10480: loss 3.1692, time 13119.19ms, mfu 9.95%
iter 10520: loss 3.2370, time 13110.66ms, mfu 9.98%
iter 10560: loss 3.0538, time 13123.29ms, mfu 10.01%
iter 10600: loss 3.6288, time 13120.42ms, mfu 10.04%
iter 10640: loss 3.1844, time 13125.01ms, mfu 10.06%
iter 10680: loss 3.0403, time 13130.92ms, mfu 10.08%
iter 10720: loss 3.1573, time 13132.69ms, mfu 10.10%
iter 10760: loss 3.4644, time 13128.18ms, mfu 10.11%
iter 10800: loss 3.1059, time 13128.15ms, mfu 10.13%
iter 10840: loss 2.9939, time 13065.12ms, mfu 10.14%
iter 10880: loss 2.7033, time 13123.44ms, mfu 10.16%
iter 10920: loss 3.0645, time 13121.09ms, mfu 10.17%
iter 10960: loss 2.8481, time 13122.76ms, mfu 10.18%
iter 11000: loss 3.2483, time 13127.96ms, mfu 10.18%
iter 11040: loss 3.1509, time 13122.09ms, mfu 10.19%
iter 11080: loss 3.0275, time 13120.24ms, mfu 10.20%
iter 11120: loss 3.2980, time 13123.39ms, mfu 10.21%
iter 11160: loss 3.2351, time 13121.08ms, mfu 10.21%
iter 11200: loss 3.3936, time 13118.75ms, mfu 10.22%
iter 11240: loss 3.1674, time 13120.36ms, mfu 10.22%
iter 11280: loss 3.0613, time 13120.56ms, mfu 10.23%
iter 11320: loss 3.1501, time 13114.16ms, mfu 10.23%
iter 11360: loss 2.9140, time 13118.67ms, mfu 10.23%
iter 11400: loss 3.0489, time 13119.01ms, mfu 10.24%
iter 11440: loss 3.1122, time 13120.54ms, mfu 10.24%
iter 11480: loss 3.4229, time 14120.60ms, mfu 10.17%
iter 11520: loss 3.3481, time 13118.66ms, mfu 10.18%
iter 11560: loss 3.1486, time 13120.05ms, mfu 10.19%
iter 11600: loss 3.1837, time 13120.05ms, mfu 10.19%
iter 11640: loss 3.1877, time 13119.84ms, mfu 10.20%
iter 11680: loss 3.1380, time 13113.41ms, mfu 10.21%
iter 11720: loss 3.1269, time 13115.67ms, mfu 10.21%
iter 11760: loss 3.0784, time 13114.89ms, mfu 10.22%
iter 11800: loss 3.3215, time 13114.94ms, mfu 10.22%
iter 11840: loss 2.9443, time 13119.30ms, mfu 10.23%
iter 11880: loss 3.1488, time 13107.55ms, mfu 10.23%
iter 11920: loss 3.3394, time 13105.41ms, mfu 10.24%
iter 11960: loss 3.3714, time 13104.98ms, mfu 10.24%
step 12000: train loss 3.1858, val loss 3.1772
saving checkpoint to out2
iter 12000: loss 3.2429, time 51008.40ms, mfu 9.48%
iter 12040: loss 3.0204, time 13106.25ms, mfu 9.56%
iter 12080: loss 3.2207, time 13108.62ms, mfu 9.63%
iter 12120: loss 3.1491, time 13107.73ms, mfu 9.70%
iter 12160: loss 3.3892, time 13107.96ms, mfu 9.75%
iter 12200: loss 2.9002, time 13107.02ms, mfu 9.81%
iter 12240: loss 2.9317, time 13112.82ms, mfu 9.85%
iter 12280: loss 3.1846, time 13113.55ms, mfu 9.89%
iter 12320: loss 2.7760, time 13108.03ms, mfu 9.93%
iter 12360: loss 3.1632, time 13114.67ms, mfu 9.97%
iter 12400: loss 2.9656, time 13108.28ms, mfu 10.00%
iter 12440: loss 3.2960, time 13110.76ms, mfu 10.02%
iter 12480: loss 3.0118, time 13108.39ms, mfu 10.05%
iter 12520: loss 3.3992, time 13117.25ms, mfu 10.07%
iter 12560: loss 3.5113, time 13111.94ms, mfu 10.09%
iter 12600: loss 3.4032, time 13104.00ms, mfu 10.11%
iter 12640: loss 3.1797, time 13122.32ms, mfu 10.12%
iter 12680: loss 3.2033, time 13112.75ms, mfu 10.14%
iter 12720: loss 3.2135, time 13117.60ms, mfu 10.15%
iter 12760: loss 3.1777, time 13107.27ms, mfu 10.16%
iter 12800: loss 3.2134, time 13112.48ms, mfu 10.17%
iter 12840: loss 3.2925, time 13116.94ms, mfu 10.18%
iter 12880: loss 3.2377, time 13108.46ms, mfu 10.19%
iter 12920: loss 3.2484, time 13071.63ms, mfu 10.20%
iter 12960: loss 3.2783, time 13105.43ms, mfu 10.21%
iter 13000: loss 3.0790, time 13102.50ms, mfu 10.22%
iter 13040: loss 2.8734, time 13098.42ms, mfu 10.22%
iter 13080: loss 3.4059, time 13105.25ms, mfu 10.23%
iter 13120: loss 3.1778, time 13065.35ms, mfu 10.24%
iter 13160: loss 3.0684, time 13094.19ms, mfu 10.24%
iter 13200: loss 3.3330, time 13105.15ms, mfu 10.24%
iter 13240: loss 3.2712, time 13107.42ms, mfu 10.25%
iter 13280: loss 3.2223, time 13104.02ms, mfu 10.25%
iter 13320: loss 3.3727, time 13097.03ms, mfu 10.25%
iter 13360: loss 2.9904, time 13104.46ms, mfu 10.26%
iter 13400: loss 3.2174, time 13103.45ms, mfu 10.26%
iter 13440: loss 2.9113, time 13097.24ms, mfu 10.26%
iter 13480: loss 3.4148, time 13098.31ms, mfu 10.26%
iter 13520: loss 2.9024, time 13101.50ms, mfu 10.26%
iter 13560: loss 3.1706, time 13103.95ms, mfu 10.27%
iter 13600: loss 3.1593, time 13105.82ms, mfu 10.27%
iter 13640: loss 3.1918, time 13099.48ms, mfu 10.27%
iter 13680: loss 3.0180, time 13102.64ms, mfu 10.27%
iter 13720: loss 3.2123, time 13105.74ms, mfu 10.27%
iter 13760: loss 3.1987, time 13101.17ms, mfu 10.27%
iter 13800: loss 3.1472, time 13101.06ms, mfu 10.27%
iter 13840: loss 3.2634, time 13105.74ms, mfu 10.27%
iter 13880: loss 2.8955, time 13100.46ms, mfu 10.27%
iter 13920: loss 3.2129, time 13104.85ms, mfu 10.27%
iter 13960: loss 3.7147, time 13101.09ms, mfu 10.27%
step 14000: train loss 3.1269, val loss 3.1589
saving checkpoint to out2
iter 14000: loss 3.0790, time 54357.13ms, mfu 9.49%
iter 14040: loss 3.5652, time 13122.65ms, mfu 9.57%
iter 14080: loss 3.0980, time 13121.10ms, mfu 9.64%
iter 14120: loss 3.1102, time 13116.75ms, mfu 9.70%
iter 14160: loss 2.9671, time 13124.66ms, mfu 9.76%
iter 14200: loss 3.3172, time 13116.87ms, mfu 9.81%
iter 14240: loss 3.1162, time 13118.20ms, mfu 9.85%
iter 14280: loss 3.0400, time 13118.65ms, mfu 9.90%
iter 14320: loss 3.1658, time 13123.94ms, mfu 9.93%
iter 14360: loss 3.2623, time 13117.28ms, mfu 9.97%
iter 14400: loss 3.2041, time 13117.37ms, mfu 10.00%
iter 14440: loss 3.1895, time 13112.73ms, mfu 10.02%
iter 14480: loss 3.2486, time 13124.40ms, mfu 10.05%
iter 14520: loss 3.1795, time 13123.75ms, mfu 10.07%
iter 14560: loss 3.1966, time 13122.25ms, mfu 10.09%
iter 14600: loss 2.8911, time 13115.69ms, mfu 10.11%
iter 14640: loss 3.1371, time 13116.24ms, mfu 10.12%
iter 14680: loss 3.3871, time 13117.20ms, mfu 10.14%
iter 14720: loss 3.0534, time 13120.31ms, mfu 10.15%
iter 14760: loss 3.0087, time 13122.14ms, mfu 10.16%
iter 14800: loss 3.2883, time 13118.24ms, mfu 10.17%
iter 14840: loss 3.1957, time 13119.53ms, mfu 10.18%
iter 14880: loss 2.9869, time 13120.93ms, mfu 10.19%
iter 14920: loss 3.2822, time 13117.66ms, mfu 10.20%
iter 14960: loss 3.4415, time 13116.14ms, mfu 10.20%
iter 15000: loss 2.9130, time 13117.15ms, mfu 10.21%
iter 15040: loss 3.1907, time 13115.49ms, mfu 10.22%
iter 15080: loss 3.2387, time 13117.87ms, mfu 10.22%
iter 15120: loss 2.9259, time 13115.98ms, mfu 10.22%
iter 15160: loss 2.9859, time 13118.70ms, mfu 10.23%
iter 15200: loss 3.2077, time 13119.65ms, mfu 10.23%
iter 15240: loss 3.1909, time 13117.72ms, mfu 10.24%
iter 15280: loss 3.3867, time 13113.69ms, mfu 10.24%
iter 15320: loss 3.1338, time 13115.89ms, mfu 10.24%
iter 15360: loss 3.0829, time 13116.45ms, mfu 10.24%
iter 15400: loss 2.9046, time 13029.55ms, mfu 10.25%
iter 15440: loss 3.1376, time 13115.54ms, mfu 10.25%
iter 15480: loss 3.0377, time 13113.70ms, mfu 10.26%
iter 15520: loss 3.0428, time 13115.53ms, mfu 10.26%
iter 15560: loss 3.0973, time 13116.37ms, mfu 10.26%
iter 15600: loss 3.2367, time 13117.32ms, mfu 10.26%
iter 15640: loss 3.0118, time 13111.60ms, mfu 10.26%
iter 15680: loss 3.0556, time 13118.98ms, mfu 10.26%
iter 15720: loss 3.0487, time 13114.56ms, mfu 10.26%
iter 15760: loss 3.2846, time 13116.08ms, mfu 10.26%
iter 15800: loss 3.3932, time 13113.67ms, mfu 10.26%
iter 15840: loss 3.1200, time 13111.95ms, mfu 10.26%
iter 15880: loss 3.4185, time 13115.07ms, mfu 10.26%
iter 15920: loss 3.0362, time 13112.75ms, mfu 10.26%
iter 15960: loss 2.9398, time 13114.33ms, mfu 10.26%
step 16000: train loss 3.1425, val loss 3.1335
saving checkpoint to out2
iter 16000: loss 3.1953, time 51375.24ms, mfu 9.50%
iter 16040: loss 3.1768, time 13123.16ms, mfu 9.58%
iter 16080: loss 3.1530, time 13119.77ms, mfu 9.65%
iter 16120: loss 3.1432, time 13120.89ms, mfu 9.71%
iter 16160: loss nan, time 12685.78ms, mfu 9.80%
iter 16200: loss nan, time 12685.91ms, mfu 9.88%
iter 16240: loss nan, time 12686.76ms, mfu 9.95%
iter 16280: loss nan, time 12686.53ms, mfu 10.02%
iter 16320: loss nan, time 12685.46ms, mfu 10.08%
iter 16360: loss nan, time 12685.87ms, mfu 10.13%
iter 16400: loss nan, time 12685.78ms, mfu 10.18%
iter 16440: loss nan, time 12617.15ms, mfu 10.23%
iter 16480: loss nan, time 12686.68ms, mfu 10.27%
iter 16520: loss nan, time 12685.09ms, mfu 10.30%
iter 16560: loss nan, time 12685.53ms, mfu 10.33%
iter 16600: loss nan, time 12686.45ms, mfu 10.36%
iter 16640: loss nan, time 12684.95ms, mfu 10.39%
iter 16680: loss nan, time 12686.84ms, mfu 10.41%
iter 16720: loss nan, time 12685.43ms, mfu 10.43%
iter 16760: loss nan, time 12686.25ms, mfu 10.45%
iter 16800: loss nan, time 12685.54ms, mfu 10.47%
iter 16840: loss nan, time 12685.90ms, mfu 10.48%
iter 16880: loss nan, time 12686.09ms, mfu 10.49%
iter 16920: loss nan, time 12685.69ms, mfu 10.51%
iter 16960: loss nan, time 12686.09ms, mfu 10.52%
iter 17000: loss nan, time 12685.90ms, mfu 10.53%
iter 17040: loss nan, time 12685.89ms, mfu 10.54%
iter 17080: loss nan, time 12686.73ms, mfu 10.54%
iter 17120: loss nan, time 12686.67ms, mfu 10.55%
iter 17160: loss nan, time 12685.45ms, mfu 10.56%
iter 17200: loss nan, time 12686.37ms, mfu 10.56%
iter 17240: loss nan, time 12686.14ms, mfu 10.57%
iter 17280: loss nan, time 12685.73ms, mfu 10.57%
iter 17320: loss nan, time 12686.75ms, mfu 10.58%
iter 17360: loss nan, time 12686.02ms, mfu 10.58%
iter 17400: loss nan, time 12685.81ms, mfu 10.58%
iter 17440: loss nan, time 12618.01ms, mfu 10.59%
iter 17480: loss nan, time 12619.97ms, mfu 10.60%
iter 17520: loss nan, time 12617.29ms, mfu 10.61%
iter 17560: loss nan, time 12618.00ms, mfu 10.61%
iter 17600: loss nan, time 12617.35ms, mfu 10.62%
iter 17640: loss nan, time 13566.09ms, mfu 10.55%
iter 17680: loss nan, time 12617.77ms, mfu 10.56%
iter 17720: loss nan, time 12618.04ms, mfu 10.57%
iter 17760: loss nan, time 12617.12ms, mfu 10.58%
iter 17800: loss nan, time 12617.62ms, mfu 10.59%
iter 17840: loss nan, time 12686.79ms, mfu 10.59%
iter 17880: loss nan, time 12685.86ms, mfu 10.60%
iter 17920: loss nan, time 12685.42ms, mfu 10.60%
slurmstepd: error: *** JOB 121839 ON gpu05 CANCELLED AT 2023-05-21T23:20:05 ***
